Date,Gold_USD,USD_INR,Gold_INR,Gold_INR_per_gram
2011-02-16,134.10000610351562,45.40999984741211,6089.4812566986075,195.78122258583784
2011-02-17,135.0399932861328,45.310001373291016,6118.662281243887,196.71941361081187
2011-02-18,135.41000366210938,45.209999084472656,6121.886141592404,196.82306305053785
2011-02-22,136.2899932861328,44.917999267578125,6121.873818604741,196.82266685758006
2011-02-23,137.50999450683594,45.150001525878906,6208.576461807243,199.6102194867858
2011-02-24,136.47999572753906,45.04999923706055,6148.4237033996615,197.67626483835136
2011-02-25,137.3800048828125,45.400001525878906,6237.052431304939,200.52574248251608
2011-02-28,137.66000366210938,45.25,6229.115165710449,200.2705536582844
2011-03-01,140.02999877929688,45.099998474121094,6315.352731277468,203.04315370545012
2011-03-02,139.9199981689453,44.83000183105469,6272.613774114987,201.66906535004057
2011-03-03,138.08999633789062,44.810001373291016,6187.81292553863,198.94265679227837
2011-03-04,139.35000610351562,44.849998474121094,6249.847561111441,200.93711515139586
2011-03-07,139.72000122070312,44.90299987792969,6273.847197757568,201.70872081140604
2011-03-08,139.36000061035156,44.970001220703125,6267.019397564698,201.48920210152227
2011-03-09,139.41000366210938,44.900001525878906,6259.509377151495,201.24774951859098
2011-03-10,137.77000427246094,44.869998931884766,6181.739944551082,198.7474060652686
2011-03-11,138.22000122070312,45.11000061035156,6235.104339428712,200.46310992102855
2011-03-14,138.86000061035156,45.237998962402344,6281.748563530273,201.96275543042657
2011-03-15,136.27000427246094,44.95000076293945,6125.336796012882,196.93400408355592
2011-03-16,136.24000549316406,45.15999984741211,6152.598627282714,197.81049165793925
2011-03-17,136.97000122070312,45.02000045776367,6166.389517655945,198.25387874856352
2011-03-18,138.3699951171875,45.04999923706055,6233.5681744613685,200.41372110731487
2011-03-21,139.13999938964844,44.99800109863281,6261.021845399169,201.29637646564436
2011-03-22,139.0500030517578,44.90999984741211,6244.735615837097,200.77276241699798
2011-03-23,140.33999633789062,44.849998474121094,6294.248621612554,202.36464133015753
2011-03-24,139.22000122070312,44.75,6230.095054626465,200.3020577949898
2011-03-25,139.25999450683594,44.599998474121094,6210.995542510995,199.6879946794089
2011-03-28,138.5399932861328,44.69300079345703,6191.768029862666,199.06981625420502
2011-03-29,138.2100067138672,44.70000076293945,6177.98740555573,198.6267592250303
2011-03-30,138.6699981689453,44.65999984741211,6193.002097065735,199.1094924065052
2011-03-31,139.86000061035156,44.61000061035156,6239.154712591553,200.59333234496287
2011-04-01,139.1999969482422,44.45000076293945,6187.439970550535,198.93066601991848
2011-04-04,139.83999633789062,44.448001861572266,6215.608417548821,199.8363019450808
2011-04-05,142.0500030517578,44.31800079345703,6295.372147958376,202.40076351402178
2011-04-06,142.3800048828125,44.29999923706055,6307.434107681271,202.78856423493403
2011-04-07,142.50999450683594,44.04999923706055,6277.565149299626,201.8282556400285
2011-04-08,143.66000366210938,44.099998474121094,6335.405942291254,203.68787892974277
2011-04-11,142.63999938964844,44.0629997253418,6285.146253928833,202.07199363186885
2011-04-12,141.61000061035156,44.2599983215332,6267.658389326476,201.5097461483909
2011-04-13,141.89999389648438,44.1879997253418,6270.276891323854,201.59393287970337
2011-04-14,143.80999755859375,44.41999816894531,6388.039828228764,205.38009639522124
2011-04-18,145.92999267578125,44.27299880981445,6460.758392051095,207.7180507676337
2011-04-19,145.92999267578125,44.36000061035156,6473.454564166255,208.12624187523124
2011-04-20,146.5,44.40999984741211,6506.064977645874,209.17469023247781
2011-04-21,146.74000549316406,44.2599983215332,6494.712396829214,208.80969655598935
2011-04-25,146.8699951171875,44.268001556396484,6501.6411724356,209.0324616983812
2011-04-26,146.3800048828125,44.40999984741211,6500.735994509887,209.0033595739993
2011-04-27,149.1999969482422,44.40999984741211,6625.971841705323,213.02978255518906
2011-04-28,149.82000732421875,44.33000183105469,6641.521199011244,213.52970562834548
2011-04-29,152.3699951171875,44.29999923706055,6749.9906674423255,217.01707741708572
2011-05-02,150.41000366210938,44.24800109863281,6655.342007286381,213.9740546011343
2011-05-03,149.8800048828125,44.220001220703125,6627.693998876959,213.08515115266638
2011-05-04,147.72999572753906,44.40999984741211,6560.689087718201,210.93089484200175
2011-05-05,143.47000122070312,44.31999969482422,6358.590410317993,204.433276329609
2011-05-06,145.3000030517578,44.70000076293945,6494.910247268679,208.81605759058237
2011-05-09,147.3800048828125,44.722999572753906,6591.275895406492,211.9142828108249
2011-05-10,147.89999389648438,44.61000061035156,6597.81881799316,212.12464249982028
2011-05-11,146.5399932861328,44.61000061035156,6537.149189935299,210.17407011864577
2011-05-12,146.58999633789062,44.58000183105469,6534.982305157464,210.10440320727454
2011-05-13,145.6300048828125,44.709999084472656,6511.117384982295,209.3371287791501
2011-05-16,145.3699951171875,44.858001708984375,6521.007489401847,209.65510278270443
2011-05-17,144.74000549316406,44.959999084472656,6507.5105144592235,209.22116528555384
2011-05-18,145.60000610351562,45.0099983215332,6553.456030334462,210.69834682059775
2011-05-19,145.64999389648438,44.959999084472656,6548.4235922393855,210.5365502994642
2011-05-20,147.49000549316406,44.849998474121094,6614.92652131652,212.67466752347872
2011-05-23,147.8300018310547,44.99300003051758,6651.315276896057,213.8445923094204
2011-05-24,148.58999633789062,45.150001525878906,6708.838561386103,215.69400747138113
2011-05-25,148.5800018310547,45.15999984741211,6709.872860018921,215.72726091979746
2011-05-26,148.22000122070312,45.22999954223633,6703.99058736267,215.5381416034424
2011-05-27,149.6999969482422,45.189998626708984,6764.942656509404,217.49779466971253
2011-05-31,149.63999938964844,45.08300018310547,6746.220119883423,216.89585158851648
2011-06-01,149.91000366210938,44.959999084472656,6739.95362740173,216.694379327141
2011-06-02,149.5,44.7599983215332,6691.619749069214,215.14041021329476
2011-06-03,150.22000122070312,44.7599983215332,6723.847002499388,216.17653969808504
2011-06-06,150.47999572753906,44.823001861572266,6744.96512862487,216.85550271271305
2011-06-07,150.4199981689453,44.66999816894531,6719.261042779544,216.02909777933493
2011-06-08,149.80999755859375,44.61000061035156,6683.024082525633,214.86405332279753
2011-06-09,150.55999755859375,44.65999984741211,6724.009467993164,216.1817630811055
2011-06-10,149.24000549316406,44.599998474121094,6656.104017272941,213.99855377282108
2011-06-13,147.77000427246094,44.722999572753906,6608.717837943113,212.47505386670676
2011-06-14,148.6699981689453,44.79999923706055,6660.415804542543,214.13718084918233
2011-06-15,149.1199951171875,44.73899841308594,6671.479224907234,214.4928778081963
2011-06-16,148.97000122070312,44.709999084472656,6660.448618191527,214.1382358317079
2011-06-17,149.94000244140625,44.79999923706055,6717.3119949798565,215.96643448421742
2011-06-20,150.02999877929688,44.76300048828125,6715.792908614501,215.91759475989844
2011-06-21,150.75999450683594,44.869998931884766,6764.600792492682,217.48680349454824
2011-06-22,150.99000549316406,44.7599983215332,6758.312392442313,217.28462688900967
2011-06-23,148.33999633789062,44.75,6638.2148361206055,213.423403672275
2011-06-24,146.25999450683594,44.849998474121094,6559.760530456551,210.90104105507584
2011-06-27,145.72999572753906,44.987998962402344,6556.100896581425,210.78338118158487
2011-06-28,146.24000549316406,44.95000076293945,6573.488358489994,211.34240064590784
2011-06-29,147.17999267578125,44.939998626708984,6614.268668728648,212.65351708742256
2011-06-30,146.0,44.7599983215332,6534.959754943848,210.10367820161227
2011-07-01,144.92999267578125,44.59299850463867,6462.862946668407,207.78571371930514
2011-07-05,147.6300048828125,44.41999816894531,6557.724546575919,210.835582702137
2011-07-06,148.91000366210938,44.34000015258789,6602.669585099793,212.28059816740216
2011-07-07,149.14999389648438,44.33000183105469,6611.819502532948,212.57477462449395
2011-07-08,150.25,44.33000183105469,6660.582775115967,214.14254907376878
2011-07-11,151.58999633789062,44.41299819946289,6732.5662344113225,216.45686930446163
2011-07-12,152.77000427246094,44.349998474121094,6775.349456375116,217.83238080521855
2011-07-13,154.13999938964844,44.560001373291016,6868.478584481811,220.82654956779174
2011-07-14,154.5399932861328,44.45000076293945,6869.3028194732615,220.85304931834878
2011-07-15,155.1999969482422,44.400001525878906,6890.880101318355,221.54677452114245
2011-07-18,156.57000732421875,44.507999420166016,6968.617795201717,224.04609755177768
2011-07-19,154.66000366210938,44.5,6882.370162963867,221.2731738538707
2011-07-20,156.02000427246094,44.369998931884766,6922.607422921748,222.56683083645726
2011-07-21,154.8300018310547,44.369998931884766,6869.807015867613,220.86925959675318
2011-07-22,156.1199951171875,44.29999923706055,6916.115664581303,222.35811611494856
2011-07-25,157.33999633789062,44.34299850463867,6976.927222330938,224.31325163827023
2011-07-26,157.77000427246094,44.310001373291016,6990.7891059768735,224.75892121391075
2011-07-27,157.19000244140625,44.04999923706055,6924.219487617491,222.61865988128315
2011-07-28,157.32000732421875,44.029998779296875,6926.799730444327,222.70161655261714
2011-07-29,158.2899932861328,44.0099983215332,6966.342338838207,223.97293998547454
2011-08-01,157.72000122070312,44.202999114990234,6971.697074374999,224.1450986022473
2011-08-02,161.52000427246094,44.0629997253418,7117.055903894652,228.81849000577594
2011-08-03,161.49000549316406,44.26300048828125,7148.032191996463,229.81440005132742
2011-08-04,160.63999938964844,44.3129997253418,7118.440248832398,228.8629976958348
2011-08-05,161.75,44.5629997253418,7208.065205574036,231.744504816951
2011-08-08,167.1199951171875,44.733001708984375,7475.779027182609,240.35169762832507
2011-08-09,168.61000061035156,45.00299835205078,7587.955579606933,243.95825484614053
2011-08-10,174.5800018310547,45.202999114990234,7891.5396682641585,253.71870266253504
2011-08-11,170.75,45.24800109863281,7726.096187591553,248.3995752115213
2011-08-12,169.97000122070312,45.292999267578125,7698.45114079956,247.51076698119374
2011-08-15,171.8000030517578,45.393001556396484,7798.517805917363,250.72798257165152
2011-08-16,173.9199981689453,45.233001708984375,7866.923574402463,252.92727745760004
2011-08-17,174.4199981689453,45.25299835205078,7893.0278897039825,253.76655005719556
2011-08-18,177.72000122070312,45.303001403808594,8051.249464786379,258.85348802502546
2011-08-19,179.9499969482422,45.709999084472656,8225.514195755008,264.4562250471814
2011-08-22,184.58999633789062,45.66299819946289,8428.932670415961,270.9962759951761
2011-08-23,177.6699981689453,45.61000061035156,8103.528724926757,260.53430401487793
2011-08-24,171.64999389648438,45.540000915527344,7816.940879196161,251.32029768984717
2011-08-25,172.36000061035156,45.939998626708984,7918.2181913391105,254.57643645696177
2011-08-26,177.47000122070312,46.0099983215332,8165.394458287046,262.5233320458163
2011-08-29,173.88999938964844,46.15299987792969,8025.545120603638,258.02707478591276
2011-08-30,179.10000610351562,45.849998474121094,8211.73500656127,264.013214157933
2011-08-31,177.72000122070312,45.939998626708984,8164.456612017821,262.49317961058466
2011-09-01,177.8699951171875,45.7400016784668,8135.773875209037,261.5710088963955
2011-09-02,183.24000549316406,45.70000076293945,8374.068390838627,269.2323497625228
2011-09-06,182.89999389648438,45.98400115966797,8410.473531439202,270.4028013387304
2011-09-07,177.0800018310547,46.040000915527344,8152.7634464233415,262.117235887387
2011-09-08,181.80999755859375,46.040000915527344,8370.53245404968,269.11866683973443
2011-09-09,180.6999969482422,46.130001068115234,8335.691052230832,267.99849059529737
2011-09-12,176.6699981689453,46.643001556396484,8240.41899956268,264.9354252596229
2011-09-13,178.5399932861328,47.15999984741211,8419.946056130982,270.707349852299
2011-09-14,177.2100067138672,47.459999084472656,8410.38675639953,270.40001145850243
2011-09-15,174.39999389648438,47.560001373291016,8294.463949218742,266.6730094432698
2011-09-16,176.02999877929688,47.5,8361.424942016602,268.8258537468967
2011-09-19,173.30999755859375,47.16999816894531,8175.032267498784,262.833194576134
2011-09-20,175.77999877929688,47.722999572753906,8388.748806643067,269.70433573852034
2011-09-21,173.58999633789062,47.90999984741211,8316.696698060608,267.387808383642
2011-09-22,169.0500030517578,48.209999084472656,8149.900492355344,262.02518984536607
2011-09-23,159.8000030517578,49.472999572753906,7905.785482705687,254.17671589067749
2011-09-26,157.5800018310547,49.34299850463867,7775.469794710691,249.98697235715244
2011-09-27,160.6300048828125,49.400001525878906,7935.122486312874,255.11992175520032
2011-09-28,156.22000122070312,48.810001373291016,7625.098474118044,245.15242574366368
2011-09-29,157.6999969482422,48.75,7687.874851226807,247.1707316291352
2011-09-30,158.05999755859375,48.86000061035156,7722.811577185057,248.29397261353407
2011-10-03,160.9600067138672,49.04999923706055,7895.088206512446,253.83279073134682
2011-10-04,157.63999938964844,49.099998474121094,7740.123729492188,248.85057081975302
2011-10-05,159.4600067138672,49.303001403808594,7861.856934865122,252.76438133538417
2011-10-06,160.49000549316406,49.150001525878906,7888.084014877328,253.60760090913652
2011-10-07,159.17999267578125,49.040000915527344,7806.186986553948,250.9745522707717
2011-10-10,163.27000427246094,48.893001556396484,7982.760573006293,256.65152066507926
2011-10-11,162.10000610351562,48.8129997253418,7912.587553408812,254.39540737887413
2011-10-12,163.25999450683594,49.237998962402344,8038.5954401294,258.44665198866363
2011-10-13,162.3000030517578,48.90999984741211,7938.0931244964595,255.2154299193486
2011-10-14,163.39999389648438,49.20000076293945,8039.279824371333,258.4686554365693
2011-10-17,162.6199951171875,48.893001556396484,7950.979674365837,255.62974180930883
2011-10-18,161.83999633789062,48.900001525878906,7913.976067871088,254.4400491221595
2011-10-19,159.8699951171875,49.2400016784668,7871.998827906791,253.0904505250789
2011-10-20,157.77000427246094,49.0099983215332,7732.307644581597,248.59927804207234
2011-10-21,159.52000427246094,49.86000061035156,7953.667510388186,255.71615767962405
2011-10-24,161.02000427246094,49.823001861572266,8022.499972617195,257.9291710777628
2011-10-25,165.58999633789062,49.54999923706055,8204.98419220734,263.7961705984001
2011-10-26,167.39999389648438,49.40999984741211,8271.233672882081,265.9261392731391
2011-10-27,169.5500030517578,49.36000061035156,8368.988254119875,269.06901969617167
2011-10-28,169.6199951171875,49.790000915527344,8445.37971217651,271.52506027220437
2011-10-31,167.33999633789062,48.62799835205078,8137.409066151129,261.6235814667523
2011-11-01,167.3800048828125,48.67300033569336,8146.887033849489,261.9283049769154
2011-11-02,169.05999755859375,49.257999420166016,8327.557261714479,267.73698335282137
2011-11-03,171.72000122070312,49.12300109863281,8435.401808621828,271.2042634630131
2011-11-04,170.85000610351562,49.04800033569336,8379.851156718447,269.41826986411326
2011-11-07,174.97999572753906,48.99300003051758,8572.794936019287,275.62155178739647
2011-11-08,173.52999877929688,48.90999984741211,8487.352213816834,272.8745065287454
2011-11-09,172.07000732421875,49.310001373291016,8484.772297459422,272.79156035363934
2011-11-10,171.13999938964844,50.04999923706055,8565.556838882447,275.38884173428863
2011-11-11,173.9600067138672,49.959999084472656,8691.041776159662,279.423273141597
2011-11-14,173.1999969482422,50.03300094604492,8665.715611166379,278.60901863669295
2011-11-15,173.36000061035156,50.36800003051758,8731.796516032715,280.73356747738086
2011-11-16,171.50999450683594,50.62300109863281,8682.350640346063,279.1438468450838
2011-11-17,167.10000610351562,50.702999114990234,8472.471461581415,272.39607959173134
